"","X","dvcat","weight","airbag","seatbelt","frontal","sex","ageOFocc","yearacc","yearVeh","abcat","occRole","deploy","injSeverity","dead"
"14883.1",590,1,99.9959999993,1,0,1,0,67,1997,1997,1,1,1,3,"1"
"9321",24534,1,1670.79699999,1,0,1,0,21,2002,2002,0,1,0,1,"1"
"16636",12103,1,40.6609999998,0,1,1,1,17,1999,1988,2,1,0,1,"1"
"10083",21443,1,14.593,1,1,1,1,41,2001,1989,1,1,1,0,"1"
"7694",7764,1,302.563999999,0,1,1,1,31,1998,1973,2,1,0,1,"1"
"17795.1",4077,1,31.4509999999,1,1,1,0,18,1998,1995,1,1,1,1,"1"
"14559",25820,0,73.3949999996,1,1,0,1,39,2002,2001,0,1,0,3,"1"
"4313",19514,2,18856.04,0,0,1,1,24,2001,1988,2,0,0,2,"1"
"15512",12844,1,3.738,1,1,0,1,44,1999,1998,0,1,0,3,"1"
"702",6040,2,106.618,0,1,1,0,32,1998,1992,2,0,0,1,"1"
"16189",25327,1,100.619,0,1,1,1,26,2002,1974,2,1,0,2,"1"
"4765",22123,2,1758.139,0,1,1,1,44,2002,1992,2,0,0,0,"1"
"3585.1",9519,2,63.1079999995,1,1,1,0,75,1999,1993,1,1,1,3,"1"
"4071.1",16205,3,513.783999994,0,1,0,1,19,2000,1986,2,1,0,1,"1"
"12206",24233,1,603.191999994,1,1,0,1,19,2002,1992,0,1,0,3,"1"
"7440",2658,2,294.140999999,1,1,0,1,38,1997,1997,1,1,1,0,"1"
"7879",11572,2,502.950999998,1,1,0,1,19,1999,1993,1,1,1,0,"1"
"17310",10931,2,0,0,1,0,0,20,1999,1988,2,1,0,1,"1"
"16220",3269,4,14.0369999999,1,1,1,0,44,1997,1996,1,1,1,3,"1"
"2338",9807,1,2258.64799997,0,1,1,1,38,1999,1989,2,0,0,1,"1"
"9162",281,1,28.727,0,1,0,1,83,1997,1985,2,1,0,0,"1"
"13995",19868,1,973.870999999,0,1,1,1,54,2001,1994,2,1,0,0,"1"
"4236",17661,1,798.821999997,1,1,1,0,53,2001,1996,0,1,0,0,"1"
"2568",24955,2,967.057999998,1,1,0,1,63,2002,1991,0,1,0,0,"1"
"5125",14424,2,129.524999998,0,1,1,0,33,2000,1987,2,1,0,3,"1"
"8727",6750,2,2767.294,0,0,1,1,33,1998,1988,2,1,0,3,"1"
"7038.1",10000,3,1064.62699999,0,1,1,1,30,1999,1988,2,1,0,0,"1"
"9465",22389,2,128.128999999,1,1,0,0,32,2002,1996,1,0,1,1,"1"
"8885",7376,3,25.3489999999,0,1,1,0,24,1998,1994,2,1,0,3,"1"
"4485",14639,1,86.2209999999,1,1,1,1,19,2000,1998,1,1,1,2,"1"
"15537",22011,1,407.563999999,1,0,0,0,60,2002,1997,1,1,1,0,"1"
"12177",11647,3,17.2799999998,0,0,1,1,30,1999,1988,2,1,0,3,"1"
"7586",3250,2,15.9179999999,0,1,1,1,63,1997,1988,2,0,0,1,"1"
"4122.1",4057,2,31.4509999999,1,1,1,0,50,1998,1997,1,1,1,3,"1"
"14397",7513,2,14.0049999999,0,1,1,1,16,1998,1989,2,0,0,0,"1"
"5355",15356,2,45.2309999997,1,0,0,1,76,2000,1992,0,0,0,1,"1"
"16655",19325,1,842.419,1,1,1,1,23,2001,1997,0,1,0,0,"1"
"16463",17731,3,17.2409999999,0,0,1,1,54,2001,1988,2,0,0,1,"1"
"17610",11477,1,62.5279999999,1,1,1,0,29,1999,1997,0,1,0,3,"1"
"12158",9692,1,116.048,1,1,1,1,79,1999,1997,1,1,1,1,"1"
"2967",15628,1,552.461999998,1,1,1,0,27,2000,1997,0,1,0,0,"1"
"11352",17361,1,3921.74499998,1,1,1,0,24,2001,2000,0,1,0,0,"1"
"15771",11700,1,2482.13299999,1,1,1,1,29,1999,1998,1,1,1,0,"1"
"1165",10829,4,44.7379999999,0,0,1,1,17,1999,1975,2,1,0,3,"1"
"8427",4252,1,87.4959999993,0,1,0,0,18,1998,1986,2,1,0,3,"1"
"349",23751,1,1017.04,0,1,1,1,29,2002,1992,2,1,0,0,"1"
"12427",2294,1,7065.87099999,0,0,1,1,19,1997,1989,2,1,0,0,"1"
"11626",5117,1,551.352999993,1,1,1,1,19,1998,1997,1,1,1,2,"1"
"603",11359,0,18.808,1,1,1,0,27,1999,1997,0,1,0,3,"1"
"15533",5905,1,19.453,1,1,0,0,39,1998,1990,1,1,1,2,"1"
"2125",24267,1,453.145,1,1,1,0,67,2002,2000,1,0,1,3,"1"
"4914.1",24224,1,3618.21499997,1,1,1,1,21,2002,1994,1,1,1,0,"1"
"11430",785,1,520.252999999,1,1,1,0,43,1997,1995,0,1,0,0,"1"
"14618",6313,1,1820.777,1,1,1,0,23,1998,1995,1,1,1,0,"1"
"1709",17984,1,95.6299999999,1,1,1,0,28,2001,2000,1,1,1,0,"1"
"13442.1",9434,2,1251.588,1,1,0,0,49,1999,1999,0,1,0,0,"1"
"6461.1",17849,1,175.698999999,0,1,0,0,48,2001,1995,2,0,0,1,"1"
"12800",23964,1,183.497,1,0,0,1,30,2002,1994,0,1,0,3,"1"
"2618",16301,3,42.4689999996,0,1,0,1,17,2000,1993,2,0,0,2,"1"
"14934",7967,1,49.6119999997,1,1,1,0,19,1998,1995,0,1,0,3,"1"
"9069",24118,2,64.2889999999,1,0,0,0,16,2002,2000,0,0,0,3,"1"
"17391",18051,1,138.665999999,1,1,1,0,18,2001,1999,1,0,1,3,"1"
"5672",10269,2,20.8699999999,0,0,1,0,16,1999,1991,2,1,0,3,"1"
"11955",8637,1,606.611999996,0,0,1,0,17,1999,1989,2,1,0,1,"1"
"15252",18967,1,29.166,1,0,1,1,32,2001,1997,1,1,1,3,"1"
"4663",2764,1,8.654,1,1,1,0,26,1997,1996,1,1,1,3,"1"
"11888",24642,2,10.034,0,1,0,1,42,2002,1988,2,1,0,3,"1"
"196",2521,1,51.8229999999,1,1,0,0,26,1997,1997,0,0,0,2,"1"
"10034",21424,1,24.8679999998,1,1,1,1,27,2001,2001,1,1,1,0,"1"
"7935",20761,1,532.973999999,1,0,1,0,43,2001,1997,0,0,0,1,"1"
"7264",26041,2,392.913999997,1,1,1,0,56,2002,1999,0,1,0,0,"1"
"15572",21136,2,102.465,0,1,1,1,54,2001,1996,2,1,0,0,"1"
"7375.1",13554,1,150.539999999,0,0,1,0,46,2000,1990,2,0,0,1,"1"
"17178",23905,1,656.354999997,0,1,1,1,38,2002,1987,2,1,0,1,"1"
"14554",6166,2,2971.75399998,0,1,0,1,18,1998,1988,2,1,0,2,"1"
"15210",5716,2,86.9859999996,0,0,1,0,34,1998,1981,2,1,0,3,"1"
"14692",6077,4,47.5029999996,0,1,1,0,19,1998,1993,2,1,0,3,"1"
"18300.1",10080,1,84.1569999997,0,1,1,0,41,1999,1986,2,1,0,0,"1"
"3844",20947,2,154.959999999,1,1,1,0,20,2001,1995,1,1,1,3,"1"
"10329",19133,1,3078.80699998,1,1,1,1,33,2001,1994,1,1,1,0,"1"
"7251",20582,1,200.741999999,0,1,1,1,25,2001,1994,2,1,0,1,"1"
"12747",234,1,18.5359999998,1,1,0,0,73,1997,1994,0,1,0,3,"1"
"490",15384,3,14864.4119999,0,1,1,1,17,2000,1988,2,1,0,0,"1"
"6048",19528,2,86.3869999992,1,1,0,0,80,2001,1994,1,1,1,3,"1"
"1315.1",10432,3,51.8319999999,1,1,1,1,16,1999,1995,1,1,1,2,"1"
"6550",11566,1,16.8569999998,1,1,1,1,31,1999,1998,1,0,1,1,"1"
"15697.1",10461,2,224.363,0,1,0,1,21,1999,1990,2,1,0,2,"1"
"1568.1",18467,2,26.8959999999,0,1,0,1,16,2001,1986,2,1,0,3,"1"
"17091",13636,1,232.918,0,0,0,0,53,2000,1986,2,1,0,1,"1"
"2078",24280,1,2208.12599999,0,1,0,1,50,2002,1990,2,1,0,1,"1"
"8745.2",2699,1,157.545,0,1,1,1,48,1997,1988,2,1,0,0,"1"
"16222",17334,1,6.268,1,1,1,0,44,2000,2000,1,1,1,3,"1"
"15048",18165,3,43.423,0,0,1,1,21,2001,1989,2,0,0,3,"1"
"15193",17271,1,149.919,0,1,0,1,61,2000,1966,2,1,0,1,"1"
"1371",22931,2,776.132999994,1,1,0,0,56,2002,1995,0,1,0,1,"1"
"12961",15124,2,945.881999999,1,1,1,0,24,2000,1999,0,1,0,1,"1"
"12216",7553,1,0,1,0,1,0,19,1998,1998,1,0,1,2,"1"
"15270",16745,1,1097.30599999,0,1,0,0,25,2000,1989,2,0,0,0,"1"
"12543.1",5322,1,229.526999999,0,1,0,1,41,1998,1985,2,1,0,0,"1"
"12104",2714,1,964.985999994,1,1,1,0,16,1997,1996,1,1,1,0,"1"
"4573",25014,0,318.177999999,0,1,0,0,17,2002,1970,2,1,0,1,"1"
"13456",9618,2,451.231999997,0,0,0,1,18,1999,1986,2,0,0,2,"1"
"17679",6812,1,994.349999994,1,1,0,1,45,1998,1995,0,1,0,0,"1"
"11282.1",15264,3,46.2869999995,1,0,0,1,25,2000,1993,1,1,1,3,"1"
"9947",17509,2,44.2279999997,1,1,0,0,30,2001,1997,0,1,0,2,"1"
"10988",2181,2,1843.044,1,1,1,0,27,1997,1992,0,1,0,0,"1"
"17337",15122,1,622.152999997,1,1,0,0,17,2000,2000,0,1,0,0,"1"
"9839",7484,2,23.4269999999,1,1,1,0,61,1998,1995,1,1,1,3,"1"
"12445",11663,4,233.193,0,0,1,1,24,1999,1990,2,1,0,2,"1"
"3657",18415,1,1062.881,0,1,0,1,55,2001,1988,2,0,0,2,"1"
"2752",7907,4,64.8559999997,1,1,0,1,21,1998,1997,0,1,0,2,"1"
"2921",12400,1,52.2399999998,0,1,1,1,78,1999,1996,2,1,0,0,"1"
"5210.2",17996,2,29.6629999999,1,1,1,1,40,2001,1998,1,1,1,3,"1"
"3096",14025,1,874.332999997,1,1,1,1,30,2000,1995,0,1,0,0,"1"
"1433",22380,2,3586.47299999,0,1,0,0,21,2002,1992,2,1,0,2,"1"
"4111",10103,2,97.9439999992,1,1,1,1,79,1999,1993,1,1,1,0,"1"
"10786",21988,2,457.155999999,1,1,1,1,43,2002,1995,1,1,1,0,"1"
"14777",10729,1,31.3909999998,1,1,1,1,75,1999,1994,1,1,1,0,"1"
"18055",760,1,935.428999998,0,1,1,1,67,1997,1984,2,1,0,0,"1"
"2554.1",2803,0,156.060999999,0,1,1,1,21,1997,1994,2,1,0,1,"1"
"5071",17836,1,380.457999997,1,1,1,1,36,2001,1997,0,1,0,0,"1"
"2120",11021,1,18512.9909999,0,1,0,1,34,1999,1989,2,1,0,0,"1"
"14518",2186,3,38.5949999997,1,1,1,1,19,1997,1997,1,1,1,3,"1"
"2863",16123,1,23.0809999998,1,1,0,1,77,2000,1996,0,1,0,1,"1"
"3369.1",1740,1,4236.48399997,0,1,0,1,44,1997,1988,2,1,0,0,"1"
"16741.1",11947,3,18.3309999998,0,0,1,1,18,1999,1990,2,1,0,3,"1"
"1360",21274,3,20.6339999998,1,0,0,0,28,2001,2001,1,0,1,3,"1"
"7845",1855,1,31.629,0,1,0,1,22,1997,1984,2,1,0,0,"1"
"13021.1",18349,2,242.336999999,1,0,1,1,48,2001,1999,1,1,1,2,"1"
"1195",356,2,12.3829999999,0,1,1,0,83,1997,1993,2,0,0,1,"1"
"10731",1217,1,225.857999999,1,0,1,1,42,1997,1997,0,1,0,3,"1"
"12099.1",406,2,62.3159999996,1,1,0,0,23,1997,1992,1,1,1,2,"1"
"16221",10814,1,1083.132,0,1,1,1,41,1999,1993,2,0,0,2,"1"
"10392",20687,1,157.660999999,0,1,1,0,57,2001,1993,2,0,0,0,"1"
"2659",592,1,1708.33499999,0,1,0,0,28,1997,1989,2,1,0,0,"1"
"13383",6385,2,47.5029999996,0,1,1,1,26,1998,1992,2,1,0,1,"1"
"10756",25253,3,7.528,1,0,1,1,21,2002,1998,1,0,1,3,"1"
"17937",2580,1,430.048999999,1,1,0,1,23,1997,1997,1,1,1,3,"1"
"14721",14138,1,319.723999999,1,1,0,1,28,2000,2000,0,1,0,0,"1"
"9807",22372,2,37.9069999997,1,0,1,1,31,2002,1999,1,1,1,2,"1"
"3930",12141,2,69.8109999998,1,1,1,0,36,1999,1997,1,1,1,1,"1"
"655",19902,1,75.7919999994,1,1,0,0,37,2001,1998,0,1,0,1,"1"
"8108",6248,2,42.4419999998,1,1,1,1,17,1998,1993,1,1,1,2,"1"
"16541",20325,2,1826.044,1,1,1,1,43,2001,1999,1,1,1,1,"1"
"10042",19817,1,180.283,0,1,0,1,22,2001,1983,2,0,0,3,"1"
"17858.1",12186,2,69.8739999998,0,0,1,1,26,1999,1989,2,1,0,3,"1"
"7251.1",20582,1,200.741999999,0,1,1,1,25,2001,1994,2,1,0,1,"1"
"11003",12035,1,1062.764,0,0,1,0,16,1999,1979,2,0,0,2,"1"
"2729.1",7504,1,15.8609999999,0,0,1,0,58,1998,1987,2,0,0,3,"1"
"17010",1471,2,387.049999997,0,1,1,1,32,1997,1994,2,1,0,2,"1"
"8078",15000,2,49.4829999995,1,1,1,1,46,2000,1996,1,1,1,1,"1"
"60",5261,2,38.6349999998,1,1,1,0,39,1998,1997,1,1,1,1,"1"
"10896",24561,2,38.9329999997,1,1,1,1,29,2002,1999,1,1,1,0,"1"
"9543",17073,1,48.0979999998,0,1,0,1,31,2000,1983,2,1,0,3,"1"
"1186",3197,2,66.5529999994,1,1,0,1,67,1997,1997,1,1,1,2,"1"
"9900",6904,3,1433.39799999,1,0,1,1,34,1998,1998,0,0,0,3,"1"
"17341.1",1276,1,889.784999996,0,0,1,1,35,1997,1987,2,1,0,0,"1"
"3561",21295,2,50.0249999999,1,1,1,0,25,2001,1997,1,1,1,3,"1"
"1208",5870,1,469.140999999,0,1,0,0,18,1998,1984,2,0,0,1,"1"
"9151",21365,2,106.764,0,1,0,1,62,2001,1992,2,1,0,2,"1"
"14042",15525,3,739.327,1,1,1,1,21,2000,1997,1,0,1,0,"1"
"18267.1",9688,1,647.674999997,1,1,1,0,71,1999,1998,0,0,0,1,"1"
"10816",12153,1,107.761999999,0,1,1,0,17,1999,1993,2,1,0,1,"1"
"7750",25518,1,984.844999999,1,1,1,1,38,2002,1995,1,1,1,0,"1"
"6468.2",5528,2,109.6,0,1,1,1,22,1998,1988,2,1,0,2,"1"
"3072",9746,2,262.671999998,1,0,0,0,22,1999,1989,1,1,1,2,"1"
"4798",11814,1,879.469999999,1,1,1,1,50,1999,1997,1,1,1,1,"1"
"569",10773,3,44.7379999999,0,0,0,1,20,1999,1979,2,1,0,3,"1"
"10491",20810,1,55.5779999997,1,1,1,0,48,2001,1995,1,0,1,2,"1"
"13605",17321,2,2.964,0,1,0,0,18,2000,1987,2,0,0,3,"1"
"16742",14173,3,123.898999999,0,1,1,1,48,2000,1990,2,1,0,2,"1"
"16924.1",2983,2,31.6009999998,1,1,1,1,35,1997,1996,1,1,1,1,"1"
"8541",8606,2,13.338,0,0,0,0,53,1999,1988,2,1,0,3,"1"
"2512",217,2,15.855,1,1,1,1,84,1997,1993,1,1,1,3,"1"
"1716",382,2,12.3829999999,0,0,1,0,42,1997,1991,2,0,0,3,"1"
"5152",22571,1,798.539999999,1,1,1,1,35,2002,1998,0,1,0,0,"1"
"2495",13830,1,37.3249999997,1,1,0,0,20,2000,1999,0,1,0,3,"1"
"16174",12643,3,0,1,1,1,1,23,1999,2000,1,0,1,1,"1"
"1587",424,3,140.113,0,0,1,0,17,1997,1985,2,1,0,3,"1"
"17032",6440,0,641.161999993,1,1,1,1,54,1998,1992,0,1,0,0,"1"
"15076.1",17477,1,3579.55599999,1,1,1,1,46,2001,2001,0,1,0,0,"1"
"5255",6882,2,296.820999999,0,1,0,0,18,1998,1993,2,1,0,3,"1"
"5036",15916,2,9.7849999999,1,1,0,1,20,2000,1996,1,1,1,3,"1"
"16655.1",19325,1,842.419,1,1,1,1,23,2001,1997,0,1,0,0,"1"
"3484.1",19265,2,958.187999994,1,1,1,1,40,2001,1998,1,1,1,0,"1"
"580.1",6728,1,2643.19099998,1,1,0,0,31,1998,1997,0,1,0,1,"1"
"1586",2900,1,15.84,0,1,0,1,43,1997,1988,2,0,0,3,"1"
"1002",21342,2,28.693,0,0,1,1,52,2001,1985,2,0,0,2,"1"
"2070",1362,2,584.011999995,0,1,1,1,56,1997,1987,2,1,0,1,"1"
"4859",1407,1,30.2899999998,1,1,0,0,46,1997,1996,0,0,0,0,"1"
"11232",16002,2,10.7779999999,1,1,0,1,48,2000,1998,0,1,0,3,"1"
"11861",21517,2,152.658,0,0,1,1,72,2002,1986,2,1,0,2,"1"
"12704",4329,1,1890.01199999,1,1,1,1,34,1998,1998,1,0,1,0,"1"
"5193",12417,2,52.2399999998,0,1,1,1,48,1999,1987,2,1,0,3,"1"
"10350",921,1,95.7419999996,1,1,1,0,46,1997,1986,0,1,0,3,"1"
"1025",10772,4,44.7379999999,0,0,1,1,69,1999,1988,2,1,0,3,"1"
"7472",26095,1,24.828,1,1,0,0,33,2002,1991,0,0,0,0,"1"
"2695",19965,1,11.7829999999,0,1,1,1,16,2001,1993,2,1,0,0,"1"
"5054",5930,1,22.0129999998,0,1,1,1,49,1998,1986,2,1,0,0,"1"
"9624",17671,1,385.512999997,1,0,0,0,53,2001,2000,0,1,0,1,"1"
"140",12722,1,84.7439999999,0,1,1,0,17,1999,1991,2,1,0,3,"1"
"704",15664,3,419.432999998,0,0,1,1,41,2000,1987,2,1,0,3,"1"
"16148",2858,2,9.0449999999,0,1,1,1,46,1997,1978,2,1,0,3,"1"
"15312",6276,2,51.9709999999,1,1,1,0,36,1998,1995,1,1,1,2,"1"
"6028",23685,2,30.0599999998,1,1,0,1,23,2002,1995,1,1,1,3,"1"
"12532",21197,3,8.0419999999,1,1,1,1,42,2001,1999,1,1,1,1,"1"
"12735.1",840,1,110.492,1,1,0,0,48,1997,1996,0,1,0,2,"1"
"281",10698,1,55.8229999999,1,0,0,1,66,1999,1993,1,1,1,2,"1"
"1315.2",10432,3,51.8319999999,1,1,1,1,16,1999,1995,1,1,1,2,"1"
"2973",7726,2,48.5149999997,1,0,0,0,43,1998,1997,1,0,1,3,"1"
"6849",1333,2,31.3419999999,0,1,1,1,85,1997,1986,2,1,0,3,"1"
"7674.1",1513,1,923.088999994,1,1,0,1,26,1997,1996,0,1,0,0,"1"
"16040",24347,2,2666.06099999,1,1,0,0,18,2002,1998,1,1,1,3,"1"
"75",9040,1,148.656,1,0,0,0,44,1999,1996,0,1,0,2,"1"
"5568",11495,2,18.24,0,0,1,1,17,1999,1993,2,0,0,3,"1"
"6661",23251,2,19.2959999999,1,1,1,1,38,2002,2000,1,1,1,0,"1"
"5718",5756,2,86.9859999996,0,0,1,0,36,1998,1990,2,1,0,2,"1"
"8637",11955,2,14.1849999999,0,1,1,0,20,1999,1990,2,1,0,3,"1"
"2933",163,3,25.4919999999,0,0,0,1,46,1997,1985,2,0,0,2,"1"
"10061",7052,2,0,1,1,1,0,28,1998,1998,1,1,1,1,"1"
"6675",23621,2,259.338,1,1,1,0,26,2002,2002,1,1,1,0,"1"
"10675",6084,2,769.034999996,0,1,0,0,25,1998,1990,2,1,0,0,"1"
"6237",12909,1,344.156999998,1,1,1,1,30,1999,1996,1,1,1,0,"1"
"14439.1",21356,2,10.031,0,1,1,1,25,2001,1985,2,0,0,3,"1"
"172",7110,3,1398.64799999,1,1,0,0,19,1998,1992,1,1,1,1,"1"
"16145",4548,3,5.329,1,0,1,1,34,1998,1995,1,0,1,3,"1"
"10953",9306,2,2021.29799999,1,1,0,1,52,1999,1997,0,1,0,2,"1"
"16434",22108,2,238.522999998,1,1,1,1,19,2002,1995,1,1,1,0,"1"
"12358.1",15991,2,9.7849999999,1,1,1,0,24,2000,1995,1,1,1,3,"1"
"16093",17720,2,196.025999999,0,1,1,1,55,2001,1989,2,1,0,0,"1"
"1490",7305,3,29.149,1,0,0,0,36,1998,1996,0,1,0,3,"1"
"7365.1",20080,3,59.5029999996,0,0,1,1,26,2001,1990,2,1,0,3,"1"
"7218",14198,2,212.052999999,1,1,1,0,68,2000,1996,1,0,1,5,"1"
"2335",5799,3,81.517,0,0,1,0,53,1998,1967,2,0,0,3,"1"
"1360.1",21274,3,20.6339999998,1,0,0,0,28,2001,2001,1,0,1,3,"1"
"12869",20985,1,701.969999999,1,0,0,0,22,2001,1994,0,1,0,1,"1"
"2227.1",9632,4,22.2779999999,1,0,1,0,28,1999,1993,1,1,1,3,"1"
"4108",15178,2,59.4239999996,0,0,1,1,22,2000,1992,2,0,0,1,"1"
"8099",4831,1,45.6789999995,1,0,1,1,35,1998,1997,0,1,0,3,"1"
"4761",24213,1,229.581999998,1,1,1,0,19,2002,1996,1,1,1,3,"1"
"6511.1",3796,2,224.105999999,0,1,1,0,18,1997,1986,2,1,0,3,"1"
"9374",9575,2,388.352999996,0,1,0,1,40,1999,1987,2,1,0,2,"1"
"6",6791,2,4131.64699996,1,1,1,0,52,1998,1995,1,1,1,0,"1"
"16715",8832,3,9.87,0,0,0,1,29,1999,1987,2,0,0,2,"1"
"6068",15065,1,489.066,1,1,1,0,48,2000,1999,0,0,0,1,"1"
"6710",21215,2,10.169,1,1,0,1,22,2001,1998,0,1,0,3,"1"
"2969",20833,1,169.502999999,0,1,0,0,37,2001,1989,2,1,0,3,"1"
"12782",13560,1,675.961999998,1,1,0,0,65,2000,1995,0,0,0,0,"1"
"3732",10349,1,261.234999999,0,1,0,1,18,1999,1993,2,1,0,0,"1"
"16028",8815,1,130.056,1,0,0,1,34,1999,1994,1,1,1,3,"1"
"11843",2183,1,166.835999999,0,1,0,1,16,1997,1990,2,0,0,2,"1"
"17138",23845,1,48.4639999997,1,1,0,0,69,2002,2000,1,1,1,3,"1"
"4673",9540,1,101.085,1,0,0,1,33,1999,1998,0,1,0,3,"1"
"18244",20567,3,10.7779999999,0,1,1,0,42,2001,1987,2,1,0,3,"1"
"12878",7909,3,64.8559999997,1,1,1,0,47,1998,1995,1,0,1,3,"1"
"4340",15886,1,633.875999995,1,0,1,0,28,2000,1997,1,1,1,0,"1"
"8417",25931,1,12.0719999999,1,1,1,1,20,2002,2002,1,0,1,2,"1"
"1031",17776,2,142.878999999,1,1,1,0,16,2001,2000,1,1,1,2,"1"
"16700",9689,1,116.048,1,1,0,0,75,1999,1998,0,1,0,1,"1"
"4477",21013,1,1409.68799999,0,0,1,0,22,2001,1992,2,0,0,0,"1"
"624",4732,4,66.2919999994,0,1,1,1,20,1998,1994,2,1,0,3,"1"
"136.2",22490,1,116.307999999,1,1,1,0,24,2002,1995,1,1,1,0,"1"
"3511",5202,1,1112.263,1,1,1,1,73,1998,1998,1,1,1,0,"1"
"13553.2",6956,2,20.774,0,1,1,1,23,1998,1990,2,0,0,3,"1"
"5357.1",15633,1,198.590999998,0,0,1,1,50,2000,1991,2,1,0,3,"1"
"16952",16947,1,67.1899999995,1,0,1,1,31,2000,2000,0,1,0,2,"1"
"16007.1",9880,3,22.2779999999,0,0,1,1,16,1999,1991,2,0,0,0,"1"
"18087.1",13768,2,36.4019999998,1,0,1,0,48,2000,1993,1,1,1,3,"1"
"794",16482,1,27.8149999999,0,1,1,1,40,2000,1990,2,1,0,3,"1"
"9932",6215,1,380.779999997,1,1,0,1,33,1998,1996,0,1,0,1,"1"
"9309",18528,2,379.650999997,1,1,1,1,38,2001,2000,0,1,0,2,"1"
"8378.1",9892,4,113.741,0,1,0,1,37,1999,1990,2,1,0,3,"1"
"12502.1",17594,3,95.2399999993,0,1,1,1,46,2001,1990,2,1,0,3,"1"
"12854",3375,1,45.0689999997,0,0,1,1,45,1997,1990,2,0,0,3,"1"
"17820",14116,1,376.256999999,0,1,0,1,45,2000,1986,2,1,0,1,"1"
"15885",11525,2,18.0229999998,0,1,1,1,39,1999,1988,2,1,0,2,"1"
"5186",1009,1,159.598999999,1,1,1,0,53,1997,1995,0,1,0,0,"1"
"15170",2974,2,561.240999997,0,0,1,1,36,1997,1993,2,1,0,2,"1"
"17319.1",17443,4,69.4839999992,0,1,0,0,22,2001,1993,2,1,0,3,"1"
"13305",23948,4,58.0379999997,0,0,1,1,50,2002,1979,2,1,0,3,"1"
"11440",7238,4,25.183,0,0,1,1,32,1998,1987,2,1,0,3,"1"
"16185",13293,1,120.25,1,0,1,1,64,2000,2000,1,1,1,3,"1"
"411",12957,1,22.997,0,1,0,1,17,2000,1989,2,0,0,3,"1"
"4682",19743,1,1331.26899999,1,1,0,0,30,2001,2000,0,1,0,3,"1"
"4870",18517,1,242.332999999,1,0,0,1,74,2001,2000,0,1,0,0,"1"
"13703",18136,2,2310.83499998,0,1,1,1,29,2001,1990,2,1,0,0,"1"
"16249.1",3943,2,5.194,1,1,0,1,65,1997,1994,1,1,1,2,"1"
"17194",12920,1,78.0109999999,1,1,1,0,36,2000,1997,1,1,1,1,"1"
"8791",120,3,25.0689999999,0,0,0,0,77,1997,1989,2,1,0,3,"1"
"10039",18241,3,41.23,1,1,0,1,16,2001,1996,1,1,1,3,"1"
"17277",2130,1,138.309999999,0,1,0,0,46,1997,1994,2,0,0,1,"1"
"3954",4460,1,31.0789999999,1,0,1,1,39,1998,1995,1,1,1,3,"1"
"15185.1",17725,1,47.5219999999,0,0,1,0,33,2001,1988,2,0,0,1,"1"
"7756",13154,1,13.051,1,0,0,0,27,2000,1996,0,0,0,2,"1"
"10121",14572,2,339.294,0,0,0,0,30,2000,1987,2,1,0,2,"1"
"3049",3011,2,1045.404,1,1,1,0,38,1997,1996,1,0,1,0,"1"
"5770",9541,2,76.5629999992,1,1,1,0,40,1999,1999,1,1,1,1,"1"
"6419",2383,2,76.3099999996,0,1,0,0,35,1997,1984,2,1,0,3,"1"
"12690.1",12289,3,125.043,1,0,1,0,18,1999,1998,1,0,1,3,"1"
"10453",22539,1,1931.167,0,1,0,1,28,2002,1991,2,1,0,0,"1"
"13837",12135,0,58.8699999996,0,1,0,1,35,1999,1989,2,1,0,0,"1"
"11247",6659,1,3041.89199999,0,1,0,1,37,1998,1993,2,1,0,0,"1"
"3966",23770,1,2210.14299998,1,1,1,1,18,2002,1997,1,1,1,1,"1"
"9627.1",17140,3,22.1649999998,0,1,1,0,25,2000,1990,2,1,0,2,"1"
"5556",11212,4,11.7379999999,0,1,1,1,23,1999,1983,2,0,0,3,"1"
"16538",12263,2,231.989999998,0,0,0,0,53,1999,1980,2,1,0,1,"1"
"10266.1",6450,2,214.933999998,0,1,0,1,18,1998,1991,2,1,0,1,"1"
"9444",7452,2,14.0049999999,1,0,0,0,52,1998,1995,0,1,0,3,"1"
"4108.1",15178,2,59.4239999996,0,0,1,1,22,2000,1992,2,0,0,1,"1"
"14018",23305,2,1619.63399999,0,1,1,1,25,2002,1993,2,1,0,1,"1"
"3455",10496,1,2156.05699998,1,1,0,1,42,1999,1996,0,1,0,1,"1"
"1900",9065,1,185.708999999,1,0,1,1,28,1999,1996,1,1,1,2,"1"
"10619",19994,2,11.7829999999,0,1,1,0,57,2001,1991,2,0,0,2,"1"
"5515",17822,1,445.816,1,1,0,0,23,2001,1999,0,1,0,0,"1"
"60.1",5261,2,38.6349999998,1,1,1,0,39,1998,1997,1,1,1,1,"1"
"61",15485,2,8071.31999999,1,1,1,1,30,2000,1995,1,1,1,0,"1"
"8349",22889,3,24.2679999999,1,1,0,1,45,2002,1991,1,1,1,3,"1"
"9538",13743,2,91.2729999991,1,0,0,1,17,2000,2000,0,1,0,3,"1"
"10740",20245,1,12.4419999999,0,0,1,1,34,2001,1992,2,0,0,3,"1"
"12796.1",12784,1,4.491,0,0,1,0,34,1999,1982,2,1,0,3,"1"
"7250",4905,1,16.6789999998,1,1,1,0,50,1998,1994,1,1,1,3,"1"
"4190",9972,1,288.446999997,1,1,0,0,21,1999,1996,0,1,0,0,"1"
